H: S:
/* Non-Breeder=1 	*/
/* Breeder=2		*/
000001000000022202  1 
000001000000022202  1 
000001000000022220  1 
000001000000022220  1 
000001000000022220  1 
000001000000200002  1 
000001000000200020  1 
000001000000202000  1 
000001000000202000  1 
000001000000202002  1 
000001000000202020  1 
000001000000202022  1 
000001000000202200  1 
000001000000220222  1 
000001000000222002  1 
000001000000222020  1 
000001000000222200  1 
000001000000222202  1 
000001000000222202  1 
000001000000222220  1 
000001000000222222  1 
000001000002000000  1 
000001000002000000  1 
000001000002000020  1 
000001000002000020  1 
000001000002000022  1 
000001000002000222  1 
000001000002002000  1 
000001000002002220  1 
000001000002020222  1 
000001000002022020  1 
000001000002022220  1 
000001000002202220  1 
000001000002222022  1 
000001000020000000  1 
000001000020000000  1 
000001000020000000  1 
000001000020000000  1 
000001000020000000  1 
000001000020000000  1 
000001000020000002  1 
000001000020000020  1 
000001000020000202  1 
000001000020002000  1 
000001000020002002  1 
000001000020002200  1 
000001000020020002  1 
000001000020022020  1 
000001000020022022  1 
000001000020022200  1 
000001000020022200  1 
000001000020022202  1 
000001000020202002  1 
000001000020222202  1 
000001000022022000  1 
000001000022022202  1 
000001000022222202  1 
000001000200000000  1 
000001000200000000  1 
000001000200000000  1 
000001000200000000  1 
000001000200000000  1 
000001000200000000  1 
000001000200000002  1 
000001000200000002  1 
000001000200000020  1 
000001000200000200  1 
000001000200000200  1 
000001000200000222  1 
000001000200002000  1 
000001000200002000  1 
000001000200002220  1 
000001000200020000  1 
000001000200022000  1 
000001000200022202  1 
000001000200022202  1 
000001000200022202  1 
000001000200222002  1 
000001000202222202  1 
000001000220000000  1 
000001000220002200  1 
000001000220020000  1 
000001000220022000  1 
000001000220022002  1 
000001000220022202  1 
000001000220220220  1 
000001000222000000  1 
000001002000000000  1 
000001002000022202  1 
001000000020002200  1 
000010000000000002  1 
000010000000000002  1 
000010000000000002  1 
000010000000000002  1 
000010000000000002  1 
000010000000000002  1 
000010000000000002  1 
000010000000000002  1 
000010000000000002  1 
000010000000000020  1 
000010000000000020  1 
000010000000000020  1 
000010000000000020  1 
000010000000000020  1 
000010000000000020  1 
000010000000000022  1 
000010000000000022  1 
000010000000000200  1 
000010000000000200  1 
000010000000000200  1 
000010000000000200  1 
000010000000000200  1 
000010000000000222  1 
000010000000002000  1 
000010000000002000  1 
000010000000002000  1 
000010000000002000  1 
000010000000002000  1 
000010000000002000  1 
000010000000002000  1 
000000000001000002  1 
000010000000002000  1 
000010000000002000  1 
000010000000002000  1 
000010000000002002  1 
000010000000002002  1 
001000000200000000  1 
000010000000002022  1 
000010000000002022  1 
000010000000002200  1 
000010000000002200  1 
000010000000002202  1 
000010000000002202  1 
000010000000002202  1 
000010000000002220  1 
000010000000002220  1 
000010000000002220  1 
000010000000020000  1 
000010000000020000  1 
000010000000020002  1 
000010000000020200  1 
000010000000020200  1 
000010000000020200  1 
000010000000020202  1 
000010000000020202  1 
000010000000022000  1 
000010000000022000  1 
000010000000022000  1 
000010000000022000  1 
000010000000022000  1 
000010000000022000  1 
000010000000022002  1 
000010000000022002  1 
001000000200020222  1 
000010000000022020  1 
000010000000022022  1 
000010000000022200  1 
000010000000022200  1 
000010000000022200  1 
000010000000022202  1 
000010000000022220  1 
000010000000022222  1 
000010000000022222  1 
000010000000022222  1 
000010000000200000  1 
